                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.0129,                0.51622,                0.85637,                0.92363,                0.87927,                0.92132,                0.71803,                 1.1471,                0.54244,                0.89036,             0.00030276,             0.00030276,             0.00030276
                    101,                 1.0287,                0.52962,                0.85493,                0.94014,                0.88251,                0.92178,                 0.7303,                 1.1272,                0.53693,                0.88168,             0.00029985,             0.00029985,             0.00029985
                    102,                 1.0211,                0.52299,                0.85273,                0.92742,                0.88374,                0.92043,                0.72981,                 1.1291,                0.53551,                0.88318,             0.00029694,             0.00029694,             0.00029694
                    103,                 1.0238,                 0.5224,                0.84984,                0.92521,                0.88406,                0.92459,                0.73237,                 1.1422,                0.54236,                0.88684,             0.00029403,             0.00029403,             0.00029403
                    104,                 1.0096,                0.51482,                 0.8513,                0.93159,                0.88247,                0.92299,                0.73412,                 1.1209,                0.52984,                0.88285,             0.00029112,             0.00029112,             0.00029112
                    105,                 1.0208,                0.51962,                0.85068,                0.93096,                0.88401,                0.92383,                0.74026,                 1.1307,                0.53344,                0.88404,             0.00028821,             0.00028821,             0.00028821
                    106,                 1.0059,                0.51271,                0.85004,                0.93024,                0.88406,                 0.9221,                0.73239,                 1.1297,                0.53301,                0.88265,              0.0002853,              0.0002853,              0.0002853
                    107,                0.99289,                0.51029,                   0.85,                0.92108,                0.89113,                0.92852,                 0.7442,                 1.1156,                0.52515,                0.87871,             0.00028239,             0.00028239,             0.00028239
                    108,                 1.0142,                0.51379,                0.85168,                0.93755,                0.87064,                0.92043,                0.73353,                 1.1272,                0.53053,                0.88188,             0.00027948,             0.00027948,             0.00027948
                    109,                 1.0029,                0.51003,                0.85085,                0.93478,                0.87815,                0.92256,                0.73284,                 1.1242,                0.53099,                0.87986,             0.00027657,             0.00027657,             0.00027657
                    110,                0.99068,                0.50608,                0.84646,                0.93739,                0.87971,                0.92522,                0.74027,                 1.1112,                0.52198,                0.87945,             0.00027366,             0.00027366,             0.00027366
                    111,                 1.0054,                0.50922,                0.85303,                0.94535,                0.87831,                0.92646,                0.73201,                 1.1336,                0.52961,                  0.887,             0.00027074,             0.00027074,             0.00027074
                    112,                 1.0076,                0.51218,                0.84544,                0.94407,                 0.8794,                0.92705,                0.74061,                 1.1067,                0.51753,                0.87988,             0.00026783,             0.00026783,             0.00026783
                    113,                 1.0021,                0.51452,                0.84954,                0.92687,                0.89369,                0.92925,                0.74293,                 1.1072,                0.52606,                0.87662,             0.00026492,             0.00026492,             0.00026492
                    114,                0.98614,                0.50533,                0.84492,                0.94279,                0.89207,                0.93369,                0.75053,                 1.1039,                0.51691,                0.87667,             0.00026201,             0.00026201,             0.00026201
                    115,                0.99548,                0.50645,                0.84833,                0.92392,                0.89236,                0.92566,                0.73892,                 1.1294,                0.52127,                0.88284,              0.0002591,              0.0002591,              0.0002591
                    116,                0.96297,                0.49207,                0.84576,                0.93497,                0.88826,                0.92648,                0.74417,                 1.1005,                0.51218,                0.87594,             0.00025619,             0.00025619,             0.00025619
                    117,                0.98166,                0.49694,                0.84506,                 0.9431,                0.88006,                0.92409,                0.73709,                  1.113,                0.51638,                0.87778,             0.00025328,             0.00025328,             0.00025328
                    118,                0.97011,                0.49193,                  0.844,                0.94521,                0.88027,                0.92909,                0.74428,                 1.0857,                0.51202,                0.87376,             0.00025037,             0.00025037,             0.00025037
                    119,                0.98251,                0.49948,                0.84584,                0.93944,                0.88135,                0.92769,                0.74531,                 1.1064,                0.51358,                0.87671,             0.00024746,             0.00024746,             0.00024746
                    120,                0.95585,                0.48561,                0.84113,                0.94658,                0.89099,                0.93273,                 0.7482,                 1.0885,                 0.5049,                0.87223,             0.00024455,             0.00024455,             0.00024455
                    121,                0.97024,                0.49111,                0.84234,                0.94384,                0.89143,                0.93036,                0.74366,                 1.0958,                0.50782,                0.87537,             0.00024164,             0.00024164,             0.00024164
                    122,                0.96635,                0.48825,                0.84469,                0.94144,                0.89278,                 0.9303,                0.74327,                 1.0975,                0.51104,                0.87667,             0.00023873,             0.00023873,             0.00023873
                    123,                0.99439,                0.50324,                0.84327,                0.94286,                0.88771,                0.92715,                0.74853,                 1.0948,                 0.5135,                0.87516,             0.00023582,             0.00023582,             0.00023582
                    124,                0.97177,                0.49506,                0.84488,                0.94812,                0.88644,                 0.9288,                0.74512,                 1.0844,                0.50583,                0.87286,             0.00023291,             0.00023291,             0.00023291
                    125,                0.96424,                0.48395,                0.84339,                0.93427,                0.89623,                 0.9304,                0.74396,                 1.1093,                0.50839,                0.87718,                0.00023,                0.00023,                0.00023
                    126,                0.96076,                0.48331,                0.84114,                0.94277,                0.89552,                0.93093,                0.75295,                  1.085,                 0.4987,                0.87403,             0.00022709,             0.00022709,             0.00022709
                    127,                0.96878,                0.49133,                0.84027,                0.95374,                0.88448,                0.93112,                0.74888,                 1.0847,                0.50846,                0.87274,             0.00022417,             0.00022417,             0.00022417
                    128,                 0.9467,                0.48415,                0.84059,                0.94182,                0.88511,                 0.9338,                0.75167,                 1.0841,                0.50818,                0.87142,             0.00022126,             0.00022126,             0.00022126
                    129,                0.94479,                0.48025,                0.83972,                0.95327,                0.88041,                0.93285,                0.75337,                 1.0804,                0.50929,                0.86949,             0.00021835,             0.00021835,             0.00021835
                    130,                 0.9394,                0.47595,                 0.8404,                0.92949,                0.89947,                0.93239,                0.75033,                 1.0958,                0.50742,                  0.872,             0.00021544,             0.00021544,             0.00021544
                    131,                0.97504,                0.49033,                0.84256,                0.94362,                0.89215,                0.93577,                0.74756,                 1.0816,                0.50164,                0.87193,             0.00021253,             0.00021253,             0.00021253
                    132,                0.93956,                0.47504,                0.84185,                0.95048,                0.88722,                0.93346,                0.75113,                 1.0812,                0.49941,                0.87322,             0.00020962,             0.00020962,             0.00020962
                    133,                0.94791,                0.48085,                0.83956,                0.94793,                0.88579,                 0.9358,                0.75136,                 1.0789,                0.49767,                0.87131,             0.00020671,             0.00020671,             0.00020671
                    134,                0.94157,                0.47583,                 0.8375,                0.94836,                0.89284,                0.93631,                0.75457,                 1.0719,                0.49798,                0.86913,              0.0002038,              0.0002038,              0.0002038
                    135,                0.92857,                0.47012,                0.83913,                0.95032,                0.89382,                0.93504,                0.75498,                 1.0735,                0.49949,                0.86778,             0.00020089,             0.00020089,             0.00020089
                    136,                0.96047,                0.48432,                0.84121,                0.94537,                0.89158,                0.93451,                0.74816,                 1.0964,                0.50616,                 0.8743,             0.00019798,             0.00019798,             0.00019798
                    137,                0.94798,                0.47694,                0.83922,                0.94409,                0.89828,                0.93312,                0.75559,                  1.072,                0.49999,                 0.8709,             0.00019507,             0.00019507,             0.00019507
                    138,                0.93688,                0.47239,                0.83557,                0.95042,                0.89814,                0.93629,                0.75704,                 1.0643,                0.48982,                0.86775,             0.00019216,             0.00019216,             0.00019216
                    139,                0.91991,                0.46304,                0.83462,                0.95045,                0.89352,                0.93229,                0.75498,                 1.0657,                0.49078,                0.86786,             0.00018925,             0.00018925,             0.00018925
                    140,                0.91582,                0.46022,                0.83616,                0.95185,                 0.8939,                0.93884,                0.77081,                 1.0518,                0.49115,                0.86611,             0.00018634,             0.00018634,             0.00018634
                    141,                0.93304,                0.47308,                0.83567,                0.93615,                0.90266,                0.93614,                0.76466,                 1.0538,                 0.4832,                0.86659,             0.00018343,             0.00018343,             0.00018343
                    142,                0.91189,                0.45987,                0.83133,                0.94767,                  0.894,                0.93599,                0.75986,                 1.0558,                0.48457,                  0.866,             0.00018052,             0.00018052,             0.00018052
                    143,                0.92033,                0.46199,                0.83414,                0.94117,                0.89212,                0.93458,                0.76058,                 1.0588,                0.48912,                0.86719,             0.00017761,             0.00017761,             0.00017761
